id,clause_type,context
1,Termination,Either party may terminate this Agreement with 30 days’ prior written notice.
2,Termination,The contract shall terminate automatically in case of material breach by either party.
3,Renewal,This Agreement shall automatically renew for successive one-year terms unless either party objects.
4,Renewal,Renewal requires mutual written consent of both parties prior to expiration.
5,Confidentiality,The parties agree to maintain the confidentiality of all proprietary information exchanged.
6,Confidentiality,Confidential information shall not be disclosed except as required by law.
7,Payment,Payments are due within 30 days of invoice receipt.
8,Payment,Late payments will incur a penalty of 2% per month.
9,Liability,Neither party shall be liable for indirect or consequential damages.
10,Liability,The total liability of either party shall not exceed the fees paid under this Agreement.
11,Governing Law,This Agreement shall be governed by the laws of the State of Delaware.
12,Governing Law,Any disputes shall be resolved under the jurisdiction of New York courts.
13,Force Majeure,Neither party shall be liable for delays caused by natural disasters or other force majeure events.
14,Force Majeure,"Performance shall be excused in case of war, strikes, or government restrictions."
15,Dispute Resolution,Any disputes shall be resolved through binding arbitration in accordance with AAA rules.
16,Dispute Resolution,Parties agree to first attempt mediation before pursuing arbitration.
17,Assignment,Neither party may assign this Agreement without prior written consent of the other party.
18,Assignment,Assignment is permitted to affiliates with prior notice.
19,Warranties,The supplier warrants that the products shall conform to specifications for 12 months.
20,Warranties,No additional warranties are provided unless expressly stated in writing.
